MSE,Pearson,Spearman,Kendall,MSE-to-rho
7.980818679448239972e-02,1.085524477330073873e-01,1.292198495893726595e-01,8.593107471767302830e-02,1.736458687953981617e+00
6.736382754627677494e-02,2.783113311689580094e-01,1.488239516066242885e-01,9.879130724673916564e-02,2.352620108634845053e+00
7.762861029916733047e-02,2.344117101886934451e-01,2.144904212342253480e-01,1.496851064716422652e-01,1.323012745035065052e+00
1.077797148140133415e-01,1.911835886183527178e-01,9.805253714144590571e-02,6.425123973830061674e-02,1.039908125746081602e+00
1.747044132833841801e-01,1.061497668259692682e-02,6.241957643624338609e-02,4.593317914739342145e-02,5.329404326849869200e-01
7.338077363507666817e-02,3.788243570178425057e-01,3.904705502495399716e-01,2.672962453640037594e-01,5.615664522518271973e+00
4.603783989684524514e-01,-2.808526008980844705e-03,1.550871680482370472e-02,1.042117764720589673e-02,3.012752491834950197e-01
1.078655177301964391e-01,4.378535674448871123e-02,2.706877164169955996e-02,1.814262199441596390e-02,3.293202011877834900e-01
4.514576877810865807e-01,1.622011040266655990e-01,1.395797489309336115e-01,9.388696503729632159e-02,1.191811924079069218e+00
9.256436089077030305e-02,3.562175380719359019e-01,3.465635136963049479e-01,2.358994665999916140e-01,4.707668318109294425e+00
9.477676887596762911e-02,2.506265760736441917e-01,2.083410822006419305e-01,1.385458807350918864e-01,2.894996953231583348e+00
7.025097924313387920e-02,1.465404280518350089e-01,8.699642007025655543e-02,5.673757136308704707e-02,2.302481523427238663e+00
1.227032443150895408e-01,3.771716050833611722e-01,3.626954087061782794e-01,2.515021252656581829e-01,8.116980651406946023e+00
1.303909804216058788e-01,1.022801939291464873e-01,5.925723762120684718e-02,3.897918489811225823e-02,7.974420999824630707e-01
5.130041553298525514e-02,1.900806036114725261e-01,1.055034775234918731e-01,7.056009084468890802e-02,2.402875887064929383e+00
5.427415899950654987e-02,3.591011280947926654e-01,3.010756070949314189e-01,2.064399924990623358e-01,5.644941302672877192e+00
9.151572027382848251e-02,9.204206526859952386e-02,7.907666911838547030e-02,5.252748260199190805e-02,8.875768423955471276e-01
1.563950611844543426e-01,2.002499997799150541e-02,2.991273252207395442e-02,2.026251198066424467e-02,3.463962214311737120e-01
6.831945740059662542e-02,3.010687147325315505e-01,2.518024728641011789e-01,1.689476184523065194e-01,4.612038436679827491e+00
9.168286927065801006e-02,7.402486581483609662e-02,3.355635718838059778e-02,2.416916697920572579e-02,2.957510742986343644e+00
1.623251400740101102e-01,9.287473178937416529e-02,6.053468461772944925e-02,4.056096595407758520e-02,3.255830423703396370e-01
2.928651365636452675e-01,2.954117614039937778e-01,1.820372123287064825e-01,1.232713255823644632e-01,9.675206359912502663e-01
7.029721734421799928e-01,1.494343437182697742e-01,1.003533716383339242e-01,6.759584531399757956e-02,1.114787280942641567e+00
5.811703967667016663e-02,2.102012276925662171e-01,1.347546418399162838e-01,9.116206192440719225e-02,2.100388034255839198e+00
5.601493411941376593e-02,4.098060637482438540e-01,3.171319837286248333e-01,2.137377172146517623e-01,7.183447507784901376e+00
6.128158787177431094e-02,1.931149045544916787e-01,1.467294266754597953e-01,9.746255781972745780e-02,2.378193217798390879e+00
1.479142256510491416e-01,2.008810076275289180e-01,1.342448940272640001e-01,9.028926532483226575e-02,9.886931429110662473e-01
7.630686939262613933e-02,1.029346314544437452e-01,3.603246578956978419e-02,2.390638413134974286e-02,2.270961711147697903e-01
7.131084635921410009e-02,1.582671974451519206e-02,6.304072750063638431e-02,4.309828311872316436e-02,1.048081993969859349e+00
2.419707621619436866e-01,1.898087724460887638e-01,1.822779217543425700e-01,1.212673875901154052e-01,1.653981984891421675e+00
9.699590798560542293e-02,3.483106471379331937e-01,1.814226177566034270e-01,1.233713797558027986e-01,1.610090708877703447e+00
1.997234381158679295e-01,2.661061950003596466e-01,2.604580830852825657e-01,1.770306705004791870e-01,4.393375552977448528e+00
1.012744276395366599e-01,-1.012592178376096365e-02,5.664816076794002009e-02,4.363053715047713471e-02,6.090732740661642941e-01
1.061734842279843244e-01,2.170065809783616739e-01,1.488220666378448076e-01,9.977622202775345006e-02,2.149779562463908000e+00
8.259912548874688565e-02,3.462650424154151696e-01,2.623564923571327090e-01,1.773122682001916639e-01,3.272442090390065061e+00
8.123594181743942766e-02,1.263180402318417606e-01,-3.874892545701447144e-02,-2.679078634829352989e-02,-6.341606021065299137e-01
2.386684285996296395e-01,7.177891450016159192e-02,9.959925597030089284e-02,6.859149060299202239e-02,1.723587616344419704e-01
3.466566165149903012e-01,2.633621896446960986e-01,1.797848302935129983e-01,1.173628995291077920e-01,1.492909032978394279e+00
5.930824178982890826e-01,2.352525046569641301e-02,-2.600560439071258109e-03,-3.065049797891402500e-03,-3.204146207360425436e-02
1.252397769756896928e-01,1.380172906876803440e-01,4.543131364736428118e-02,2.958830270450473268e-02,7.520258037651524896e-01
1.681399223617109084e-01,2.275814522482896840e-02,6.526770555105788907e-03,4.312143184564735075e-03,-1.728764161431350921e-02
9.664843515085530523e-02,1.165965211215525543e-01,6.463838761934981303e-02,4.271238071425594723e-02,6.914501116914445467e-01
2.048797861357451733e-01,5.192402087262805166e-01,4.606466831976045451e-01,3.214293870067091441e-01,3.036328262820627177e+00
1.175537773439668809e-01,1.362284725647434913e-01,6.605279839144999332e-02,4.441430178772345222e-02,1.532654043667009303e+00
4.585418258172666572e-01,2.622710771103014538e-01,1.326621572759712209e-01,8.990925949076966628e-02,6.352103717767095814e-01
7.837130606844767977e-02,1.725543445834721579e-01,4.516712515104883557e-02,3.008313539192398675e-02,2.176080321270100482e-01
3.598175042382127375e-01,3.389727791680655078e-01,3.333066194344784794e-01,2.261022836187856211e-01,2.272818584523825347e+00
7.064736386231913745e-02,1.497250525238770502e-01,1.209037089359954603e-01,8.127245072300702533e-02,1.805615778474159105e+00
1.454410570145503179e-01,8.038120868846758416e-02,-9.621423033147237167e-03,-6.982997874734339118e-03,2.041336371595101843e-03
1.540357478537454361e-01,1.006972697037228776e-01,8.916829358075460676e-02,5.970860940950951240e-02,8.164054964645818258e-01
2.231598141407251934e-01,3.457394207641092173e-03,1.499856823435263310e-02,1.089248656082010026e-02,1.373163317706214970e-01
1.401206691472007271e-01,3.484789662043182301e-01,2.515395412662428942e-01,1.705484227195065705e-01,2.405871871496261249e+00
3.479255872895252177e-01,-1.731174712386481518e-01,-1.172463977616624714e-01,-8.006942534483475760e-02,-3.042875090080676137e-01
9.754386963355787810e-02,3.112791529508228058e-02,3.797499636679682600e-02,2.657525940742592671e-02,6.195959365164985799e-01
1.139737397450281686e-01,8.144960457886134264e-02,-9.230016534844008233e-03,-6.212672417385507045e-03,1.234986702519549201e-01
1.218739080646309009e-01,8.645756031345928905e-02,9.977227521519183018e-02,6.883816727090885657e-02,9.456587169990338104e-01
1.152789188564348338e-01,2.513433876165745429e-01,1.372672743557387109e-01,8.911357669708712403e-02,1.304876354795050153e+00
