MSE,Pearson,Spearman,Kendall,MSE-to-rho
4.830504093091519957e-02,1.130949865974565371e-01,9.853389503177961695e-02,6.629155727799306008e-02,2.020089886633920528e+00
8.586876944834902214e-02,2.900542722333140366e-01,2.469738036245907320e-01,1.698598783181230754e-01,2.642580219583800627e+00
6.781698715675939237e-02,5.681327266766000861e-01,4.234892739920199656e-01,2.923431053881734853e-01,6.371699734136811344e+00
7.874648215851696997e-02,2.535318594944401260e-01,2.102719709261245684e-01,1.419032587406759138e-01,4.236242436140924106e+00
3.068322631654543664e-01,3.564476567183809119e-01,3.069252716238324297e-01,2.081420594240946664e-01,2.537936044042898853e+00
1.810761500213496911e-01,1.863323772206997297e-01,1.048104422548506859e-01,7.301006375796971481e-02,3.969766778396288220e+00
1.472080223760342810e-01,2.310693936218321254e-01,2.085558814696232000e-01,1.438868608576071850e-01,2.441831761914827315e+00
5.940205954479679251e-01,6.943754881358782383e-02,4.305024884453514250e-02,2.839746634996040409e-02,4.963207755826247181e-01
9.301625372047583884e-02,2.250205692923628320e-01,1.855589981337343597e-01,1.257944118014751589e-01,4.486574768623833975e+00
5.761230367631333532e-02,2.330444203850154106e-01,1.907025893469155020e-01,1.299913114139267245e-01,4.388024634849254646e+00
4.668922793943316302e-02,3.505159409363773348e-01,3.084291568192056299e-01,2.095135433595865793e-01,9.144143365643193633e+00
2.811019865516786176e-01,3.618945347737059781e-01,3.209880861482514169e-01,2.164809351168895668e-01,2.539877438764848616e+00
5.697048253647624821e-02,2.058328493194968856e-01,1.714613702884589530e-01,1.150381506021585926e-01,4.205406561990752579e+00
6.760439047275164370e-02,1.891983671646328968e-01,1.385110458986101023e-01,9.290094595157727397e-02,2.547674781352789797e+00
8.036337225662115724e-02,6.861349495663433828e-02,2.757014207922097934e-02,1.731345584864775120e-02,1.154852477019566726e+00
1.335396877919904357e-01,3.380790637818400363e-02,2.809192235299879173e-02,1.870758844855606798e-02,2.270936688199495235e-01
4.553069519639512536e-02,1.568897684275844528e-01,9.781880463779381307e-02,6.520227528441054077e-02,1.743091644739162227e+00
1.160902528385035909e-01,1.674090267604984028e-01,1.369636262963066786e-01,9.179551610617991964e-02,2.262592618572319747e+00
