MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.036841304848202389e-01,9.543295459001809311e-01,9.436285487285712703e-01,8.104196149518688719e-01,1.609882595936805671e+01
1.166418192581894636e-01,9.270550746228242156e-01,9.275118740236232284e-01,7.679872692419884572e-01,9.858380632155562040e+00
1.237822655046260656e-01,9.662670448912150656e-01,9.634687763588872800e-01,8.368577322165270393e-01,1.212070547633756945e+01
1.095381407566267673e-01,9.647815443759945042e-01,9.559166007408844701e-01,8.226262449472850902e-01,9.616333751809198915e+00
2.996602494672803707e-02,9.759429990139265598e-01,9.692064906047891393e-01,8.436817727215900620e-01,3.741997550549600504e+01
3.116101584570707961e-01,9.178577473150871802e-01,9.243899835217185279e-01,7.787233820894278180e-01,5.246881048747342291e+00
1.969832243286835094e-01,9.691592707480106705e-01,9.620639530166245068e-01,8.352610743009541983e-01,1.769615672507172377e+01
6.258911891526920679e-02,9.768159075401596780e-01,9.739581088743455295e-01,8.694841021794389446e-01,4.168498824075710019e+01
1.444181773164152915e-01,9.606301178487791637e-01,9.579363090068174769e-01,8.290270033754217893e-01,1.159376945368585865e+01
1.070225467964397020e-01,9.705914944123014143e-01,9.677109680267340641e-01,8.434182606159100759e-01,9.587115280862308353e+00
1.340580972560715123e-01,9.553961744082090091e-01,9.509510082648596763e-01,8.234275117723046655e-01,1.111956222789360105e+01
6.860572688090581239e-02,9.691811085571732098e-01,9.675202215550035012e-01,8.540325874067590251e-01,4.034158983471992599e+01
4.015245016681959211e-02,9.790590014897113669e-01,9.742869506060461982e-01,8.695302954535982787e-01,3.018232487407473741e+01
3.542885757669994584e-02,9.849509177865742870e-01,9.780950061108596438e-01,8.832490936367044521e-01,5.056298273818830324e+01
2.530617339544781186e-01,9.764264964977407146e-01,9.732586204259160434e-01,8.635368796099509581e-01,4.281766824596607179e+00
8.464329108150926706e-02,9.805083713178812665e-01,9.823624238572254974e-01,8.872065883235403794e-01,2.037487671701244452e+01
3.657819248654064354e-02,9.752511612788433704e-01,9.760808155168878564e-01,8.665337333833393885e-01,4.974986824253316087e+01
4.349238599081837325e-02,9.775091366315997732e-01,9.746880871123139167e-01,8.702492394882691551e-01,2.279334587993517758e+01
9.918185151037485492e-02,9.745947763969150524e-01,9.677592414181132030e-01,8.490098137267155787e-01,9.911689196957217618e+00
5.902414161894058847e-02,9.727945610720745151e-01,9.774539034914674351e-01,8.697744509730381823e-01,3.383860752231470315e+01
7.049171458638094079e-02,9.747628292910395231e-01,9.710944190092879458e-01,8.501871692294868943e-01,1.458544013125991690e+01
8.093492346085050249e-02,9.716002006234859545e-01,9.655762073058783423e-01,8.542330708005166917e-01,1.252189339165858151e+01
7.685040941265555703e-02,9.840252986501579757e-01,9.843489905992032218e-01,8.903572529899569377e-01,1.651151722955404111e+01
7.543228588987753447e-02,9.684226661994587149e-01,9.623760045918126060e-01,8.299307413426676439e-01,1.298626051246951540e+01
5.384063374715846589e-02,9.763187690626308202e-01,9.708264614582260421e-01,8.567329041130138378e-01,3.348680165317950497e+01
1.233516382035906994e-01,9.878505965210675477e-01,9.825228494300445314e-01,8.898487727632619082e-01,3.035739444558663536e+01
6.092899588749503548e-02,9.542550492130782436e-01,9.488199518799994570e-01,8.198326874192605196e-01,1.768919197663590737e+01
1.217020898545710522e-01,9.632574115547275495e-01,9.520345148130395785e-01,8.218472934116762829e-01,8.258541879312325307e+00
7.129965384130926287e-02,9.908681575607243275e-01,9.874799191871864723e-01,9.070168354377629027e-01,1.750255225805797465e+01
7.178431754026426415e-02,9.851797861722021432e-01,9.819488280226381649e-01,8.868975913655871013e-01,1.405025465317288003e+01
8.612235106837885790e-02,9.769355497644857111e-01,9.672800782934389829e-01,8.431138058924031453e-01,1.964011101221054290e+01
1.437688099575562817e-01,9.780640454103424197e-01,9.738782577871604174e-01,8.628645872400714234e-01,1.092751653863805394e+01
5.810974158126260697e-02,9.738364094323230802e-01,9.725123542033182744e-01,8.608710672167353417e-01,2.547682663368398792e+01
9.263528499040596387e-02,9.589917779880021698e-01,9.468267467160429440e-01,8.018352502396131065e-01,1.138621187763521903e+01
4.271245963177153909e-02,9.805208002308404280e-01,9.662812563481448791e-01,8.465580905946575863e-01,2.498932150112714723e+01
5.024850159604212635e-02,9.751729830679164435e-01,9.749154226783662835e-01,8.635389423677958254e-01,2.811352935144051912e+01
1.581362617183559582e-01,9.504921355231502611e-01,9.568292780676449505e-01,8.200162103596282392e-01,6.068306475341312733e+00
3.462410174516682149e-02,9.855815051984957442e-01,9.779694092729598331e-01,8.802838896528730750e-01,2.980413014617868228e+01
1.046686155937448098e-01,9.809471191126495349e-01,9.775218023440906956e-01,8.744669750385464235e-01,2.280418060230197241e+01
1.239118286111626777e-01,9.606400022123450233e-01,9.510146326564788977e-01,8.206421636037837253e-01,2.417014365627468919e+01
4.261650932697134270e-02,9.837650246457503300e-01,9.818991037640486530e-01,8.852414676834602369e-01,2.463735680805943318e+01
1.218261358908954844e-01,9.634442565402383529e-01,9.639345495536648656e-01,8.506454556819601498e-01,1.413881779760076718e+01
6.876623645480699210e-02,9.669961976916345847e-01,9.644563543196307265e-01,8.392670750510480282e-01,1.505203777697875900e+01
1.420151491491241369e-01,9.622831853365969579e-01,9.529876545857446368e-01,8.340540900945949687e-01,3.966501156799048999e+01
2.508943287006142331e-01,9.419212746947076553e-01,9.424232111706752901e-01,8.022720965120638814e-01,1.349156285367769037e+01
8.825673586952727245e-02,9.741950742562791588e-01,9.750010499218916271e-01,8.647979122390297979e-01,3.245495256931696559e+01
7.450727183839399304e-02,9.860055375374994213e-01,9.794956144686816080e-01,8.799834979372419541e-01,3.016501749749969008e+01
9.090678501524220023e-02,9.859772236014633373e-01,9.817867824966685086e-01,8.853317289661206679e-01,2.584600280914097326e+01
7.727025283485483564e-02,9.651838497247057225e-01,9.635662780479106182e-01,8.346041796891277009e-01,1.787232475566548473e+01
5.985207323541189006e-02,9.871372920141164853e-01,9.844878777966856731e-01,8.935837187981828800e-01,1.748299729812470460e+01
7.189231109322595514e-02,9.792216197427459079e-01,9.730632499697383642e-01,8.571820644247196697e-01,1.777440335763529689e+01
4.320278602065741325e-02,9.831602013281756092e-01,9.787735274808365693e-01,8.721524982289451389e-01,2.538703813918209562e+01
1.300830249952656947e-01,9.746108929676964294e-01,9.710630435166102137e-01,8.603147685127305877e-01,1.068995640332914121e+01
9.505847915321911923e-02,9.816977774677845270e-01,9.771400270490629980e-01,8.705776555402756633e-01,1.119882375499592264e+01
1.049265639284530510e-01,9.721505389679387932e-01,9.650351640005495613e-01,8.507070467141725212e-01,2.014048594826776650e+01
4.547799064380875916e-02,9.722923877034755913e-01,9.606046685875732072e-01,8.431778972371546388e-01,2.572250472484042305e+01
7.075475054993490831e-02,9.868518132686872057e-01,9.822681686995027306e-01,8.838720048339374635e-01,1.996764489237705220e+01
1.875347874466515297e-01,9.669316749853403836e-01,9.642381051599705488e-01,8.386100970954700751e-01,8.287567974453702746e+00
5.589083059911351820e-02,9.883266510287715967e-01,9.808550258024224533e-01,8.848750677167976919e-01,2.608077717512895788e+01
8.334997713471464786e-02,9.834571202133499668e-01,9.776433076741143369e-01,8.754888736092011348e-01,1.898085999282101710e+01
5.126955745585018431e-02,9.748141736279288816e-01,9.723847753888247292e-01,8.595544443055381789e-01,1.928256410976653612e+01
6.438716004029715334e-02,9.789551775214496709e-01,9.762421766209716800e-01,8.700429637037961905e-01,1.521149055185250099e+01
5.877098107389631260e-02,9.809578470676262318e-01,9.764213702409589857e-01,8.692168604408884169e-01,3.426989278560505170e+01
2.747085793976392076e-01,9.679140715914575921e-01,9.648294132785846244e-01,8.397561778555652223e-01,3.699470956018370060e+00
9.862226268248731886e-02,9.760576093787097784e-01,9.660745164152270137e-01,8.498575030212108805e-01,7.586142837510593040e+01
5.951173282513128743e-02,9.847556196062997591e-01,9.815171062190174434e-01,8.842827228403549178e-01,1.975753764182729455e+01
2.180798933357383784e-01,9.634020861267407199e-01,9.612245433238211234e-01,8.466348710255447996e-01,1.035798885601812280e+01
8.015451099587361794e-02,9.726321057988945862e-01,9.707522826055045018e-01,8.591081176813766263e-01,2.648554785160796499e+01
3.204341506979387771e-02,9.837159915604658522e-01,9.796942560577228676e-01,8.782051714797681763e-01,4.886653175304038399e+01
7.504078760243942936e-02,9.867116543180211030e-01,9.857676344807444480e-01,8.970984289702877978e-01,1.803217301600538391e+01
1.117001701868499675e-01,9.663689936054672414e-01,9.600549832352341939e-01,8.333480643413758715e-01,1.026645722925648840e+01
7.452273276673219982e-02,9.734090870168906617e-01,9.695977484780898825e-01,8.567645539025710022e-01,2.038602288081520442e+01
3.049531480393124702e-02,9.836700647464674541e-01,9.826861827841592012e-01,8.881808976122013144e-01,3.713371870821395504e+01
9.708254101755686705e-02,9.830844456006607723e-01,9.711309726739215664e-01,8.565098137267157519e-01,3.270420152756545917e+01
6.950210883083068891e-02,9.800320984274001335e-01,9.705656050400878199e-01,8.558085594032585064e-01,1.926694084084023828e+01
7.423837613317073314e-02,9.652455306408910252e-01,9.616232295175506373e-01,8.292978705671542050e-01,2.922908154932169467e+01
4.559599459697580293e-02,9.731329939383445149e-01,9.720945094155393207e-01,8.659801433512521740e-01,3.229008065924261217e+01
1.321672067666070094e-01,9.719849084382500282e-01,9.660336721567762686e-01,8.432761595199398386e-01,8.357094735615502756e+00
1.937322608000489887e-01,9.735058325297242243e-01,9.747040117453753538e-01,8.644475351085549875e-01,5.570060716593730810e+00
9.481408926493491152e-02,9.830304847018234149e-01,9.751614558697103696e-01,8.663753177480516543e-01,1.236061825544221371e+01
2.087405722256416851e-01,9.664817246906216575e-01,9.669719920620624132e-01,8.443223319581613096e-01,1.343757790607285507e+01
5.419902368185761099e-02,9.793648148159196376e-01,9.760379913834063004e-01,8.728931533108305052e-01,2.056099297646374424e+01
1.228416506644296607e-01,9.597282077136553013e-01,9.672474550585540287e-01,8.570959078218108873e-01,2.074373909233345259e+01
1.398417166550247615e-01,9.613372992986649601e-01,9.559307343036054228e-01,8.310135433595863264e-01,7.515494623843346211e+00
5.024172637208026287e-02,9.783324089885579999e-01,9.636446277288225337e-01,8.591353294161768739e-01,4.880022392855709512e+01
7.463632563708710865e-02,9.806658340256640960e-01,9.743577701462152740e-01,8.648595241071799222e-01,2.915332473924985024e+01
1.056136669713171466e-01,9.812655621166918030e-01,9.815107495939181526e-01,8.855151268908612039e-01,1.172726943826625678e+01
9.357438907339894751e-02,9.797595260436601228e-01,9.737813496215838027e-01,8.627300287535941692e-01,2.228689538770058221e+01
5.842578393655647323e-02,9.819322209990244410e-01,9.791342910958484858e-01,8.774578072259030526e-01,2.443437073420681926e+01
8.391523878536492898e-02,9.697783234826747867e-01,9.728747636542932620e-01,8.526965245655704351e-01,1.232326923944064845e+01
1.443951683254907081e-01,9.805223241686933378e-01,9.728244372472570900e-01,8.590841563528771596e-01,1.590646953323574131e+01
1.650148896028399426e-01,9.497510173687530033e-01,9.419002084828158594e-01,8.033150602158601883e-01,1.164447138002313409e+01
1.272820983555820462e-01,9.840822484907154610e-01,9.766561772290031085e-01,8.677047130891359927e-01,1.164447547307029218e+01
1.529534764529859314e-01,9.671920339608863770e-01,9.738349117630455964e-01,8.714727465933239658e-01,2.845550777215084892e+01
3.604268176340822555e-02,9.710308821991212591e-01,9.661232602206760722e-01,8.421643122056922115e-01,3.400252255523719924e+01
1.012165647218474795e-01,9.696903974847502772e-01,9.579047108422612533e-01,8.316716672917446873e-01,2.383269436359757876e+01
5.995043812825642804e-02,9.803557732174855710e-01,9.805905283295396346e-01,8.824266574988538503e-01,3.044962978465273196e+01
7.538211879961224937e-02,9.644704933932471969e-01,9.629665597104152264e-01,8.419745176480392113e-01,2.293424145867994568e+01
6.740009049352389814e-02,9.729853838549228362e-01,9.773610211775162204e-01,8.737107138392296024e-01,1.524435029844060097e+01
8.519298261162046304e-02,9.793589603883835482e-01,9.740258279379037099e-01,8.650801975246903419e-01,1.871743359842180965e+01
