MSE,Pearson,Spearman,Kendall,MSE-to-rho
5.328675090724058760e-01,7.113196337320983886e-01,6.924776502027759628e-01,5.448980705921572243e-01,1.806326234800803343e+00
2.431588126258103777e-01,9.598068514396610462e-01,9.556906704092292815e-01,8.206950452139848418e-01,3.938654212085179740e+00
7.421779246445091571e-01,6.881236326034713136e-01,6.927874073013658984e-01,5.045885318998207802e-01,1.059159389622674086e+00
4.923052082375981020e-01,9.213533612805084871e-01,9.261531025414547758e-01,7.719632870775511302e-01,3.286283616785337980e+00
3.560073868016240817e-01,7.944011257727012776e-01,7.708854082716470879e-01,5.909460765929073212e-01,2.976565510732084530e+00
3.772908522554310751e-01,8.896929933137774915e-01,8.674746469761664969e-01,6.888580030837186952e-01,2.403214924443036082e+00
3.956125046022422875e-01,6.431446001257848932e-01,6.494538001008406392e-01,4.917409259490769791e-01,2.741532187324978054e+00
2.119420111990008848e-01,8.717010802524165491e-01,8.482659824885311339e-01,6.638104971454764636e-01,4.069988566739145774e+00
3.257034696952858521e-01,5.126753736825485630e-01,4.766520376430006256e-01,3.507008376047004994e-01,1.936212831841944038e+00
2.623522803717289187e-01,7.135908231175925875e-01,7.111740622058447814e-01,5.542256115347751200e-01,4.476553613285594757e+00
3.314707891064831435e-01,9.559860996487076212e-01,9.514634241244285251e-01,8.212044838938199476e-01,5.935624578527279205e+00
2.106577853877693862e-01,9.214571813297315339e-01,9.249727245151989630e-01,7.592271950660499646e-01,5.138013067107885412e+00
3.993049966505637927e-01,9.086877930256385127e-01,9.035014179922099542e-01,7.532395299412425471e-01,3.606415702226686282e+00
4.964185314341134081e-01,7.586366793694913069e-01,7.473274213879285144e-01,5.729334291786472022e-01,1.745686594146449666e+00
1.107006747154542364e-01,9.617296796980978613e-01,9.449946972421048308e-01,8.126986915031045866e-01,8.699545465727055671e+00
1.760227009212880500e-01,8.375023619333994418e-01,8.259643579760057586e-01,6.958070592157351575e-01,6.478882068250470638e+00
