MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.202795480544537887e-01,9.359899995575476916e-01,9.340166374924475656e-01,7.799516814601824555e-01,1.093782126487898410e+01
7.488489123820064874e-02,9.688893573406435200e-01,9.698107642704808518e-01,8.519487227570111676e-01,1.498856995665277481e+01
8.672436941850986125e-02,9.563238531439517409e-01,9.587569277852646676e-01,8.265976372046504039e-01,2.319602431022863342e+01
8.435958832975833099e-02,9.297412820982703385e-01,9.313159955752502439e-01,7.766886485810725604e-01,1.474831639666867567e+01
5.095128072974947769e-02,9.580551770555464364e-01,9.620840848841263337e-01,8.311367045880734272e-01,2.955423268850634244e+01
1.484407567773903536e-01,9.622370375964502953e-01,9.644420602959696831e-01,8.394064674751008370e-01,2.906464914348601880e+01
1.350474916750966925e-01,9.417987448558444719e-01,9.474551176086739579e-01,8.066509563695460905e-01,2.287028832956294266e+01
5.247588403000576912e-02,9.669308580405463482e-01,9.689708705854825910e-01,8.525743217902236326e-01,1.907203812697801126e+01
1.955946636888917789e-01,9.479758526181795153e-01,9.545683708682558555e-01,8.175045422344459078e-01,1.362066545718356281e+01
9.231096177220787791e-02,9.500898104910672215e-01,9.465122631173792378e-01,8.050164187190064213e-01,1.111331198463503789e+01
5.337934869565255647e-02,9.616290496967335732e-01,9.618610441306415515e-01,8.344659749135306948e-01,2.752107031222637445e+01
1.054585914150291265e-01,9.569796039266232901e-01,9.536930487373914689e-01,8.184749968746091175e-01,1.704900665987808495e+01
4.629366200431777462e-02,9.590869307227093410e-01,9.666856858232139027e-01,8.459669333666707258e-01,3.108722381540580315e+01
2.077048753757736455e-01,9.451185234146280978e-01,9.529178604284042065e-01,8.121682918698169829e-01,1.165638865372815935e+01
3.032000202162216107e-02,9.656958826693088360e-01,9.670652857744577169e-01,8.498850064591406683e-01,4.130363595258472031e+01
8.036309706747563064e-02,9.745904753760439299e-01,9.757806953325109944e-01,8.648979039046545969e-01,1.757883576480489651e+01
7.027222840190584796e-02,9.640913329907044860e-01,9.612133430658337252e-01,8.342384048005998531e-01,1.396218842176181596e+01
3.760943762976587390e-02,9.729378095766115786e-01,9.708380731771576455e-01,8.546321415176896252e-01,4.835301016926291595e+01
2.304894646103437250e-01,8.820403208715159593e-01,8.896643161744425266e-01,7.104773096637077012e-01,5.279398596841817337e+00
1.262338742638006439e-01,9.411560785607253621e-01,9.489512787883014333e-01,8.147689711213900177e-01,9.181002944612925987e+00
7.399627004308953482e-02,9.530938771951404931e-01,9.568644350994442993e-01,8.249011334750174784e-01,3.238361514691630560e+01
5.856530985266450440e-02,9.653169880700150918e-01,9.653683396541928863e-01,8.439847272575736747e-01,4.158088765503701012e+01
5.089873406826552621e-02,9.658534088895484038e-01,9.683594557165541294e-01,8.519052798266448789e-01,2.011482631011715583e+01
6.935183228614183459e-02,9.642954927946467691e-01,9.724090019829532139e-01,8.583747343417925668e-01,1.953697919705267338e+01
8.506899594312410107e-02,9.542675079083798861e-01,9.570643931806938065e-01,8.321734591823976013e-01,2.336574201547064789e+01
4.957191015494003677e-02,9.723850996075823483e-01,9.739104922486016003e-01,8.620501729382837874e-01,2.207572970130327761e+01
3.804201819084648134e-02,9.725820773966274979e-01,9.727046625266355662e-01,8.591204317206316832e-01,2.843675975777410869e+01
1.629648950919166950e-01,9.074644168848023940e-01,9.055552542508634728e-01,7.443949035296077987e-01,1.764645452834439254e+01
7.336358873553140703e-02,9.692307243685890361e-01,9.729056771547762716e-01,8.575410676334541682e-01,1.828235533548222591e+01
1.016194820387496672e-01,9.512659756756974838e-01,9.598852487247696574e-01,8.300213568362710959e-01,1.376979977553591006e+01
