MSE,Pearson,Spearman,Kendall,MSE-to-rho
5.161102025909517638e-02,9.241923972122459974e-01,9.198200042159375700e-01,7.522938492311537217e-01,2.122621235856954414e+01
7.294913709419532932e-02,9.211213771309707532e-01,8.981268570254198336e-01,7.265494228445220637e-01,1.873749880519282485e+01
1.301371729392113707e-01,8.402759785274076521e-01,8.297984474656008302e-01,6.401912530733007145e-01,9.285883706607497956e+00
1.278718596684586817e-01,8.536680906563053339e-01,8.335752294386756800e-01,6.516919406592490693e-01,1.424503196711922648e+01
2.184961452649599456e-01,7.446991293953503233e-01,7.439042047172533811e-01,5.539886027420094505e-01,4.120196676587776885e+00
9.834909676865395689e-02,9.046450863070214510e-01,8.969500621398448503e-01,7.230684877276324363e-01,1.754320385195434540e+01
5.201084671771561557e-02,9.190727636320090710e-01,9.302955852233685263e-01,7.684616410384630392e-01,1.788228828063252251e+01
7.417720193545368490e-02,8.743808252837563799e-01,8.844478208663723029e-01,7.072366962536982271e-01,1.367761819197905560e+01
1.063639204732325094e-01,8.946622506409749320e-01,8.973152460596133251e-01,7.210061257657205402e-01,1.023884788541870705e+01
7.337298198527407445e-02,9.087879670855508740e-01,8.981774662996481196e-01,7.221372254865189300e-01,1.898088885602626164e+01
7.128040073069957794e-02,8.943071255208056014e-01,8.841746753933543701e-01,7.014382006084091126e-01,1.623004258402263744e+01
1.829270825301965997e-01,8.624877410020914681e-01,8.679370330537037326e-01,6.830865733216651137e-01,5.985104796122761250e+00
1.616280308089722839e-01,9.250249416043794248e-01,9.176329166817644989e-01,7.546959828311869956e-01,8.453725201823290902e+00
1.129578929829333639e-01,9.245743457556067080e-01,9.190648569619509489e-01,7.483807767637619124e-01,2.230803458838965980e+01
1.134718645951923177e-01,9.111781507285222625e-01,8.959173789362090412e-01,7.227210484643912247e-01,1.379035387702474225e+01
7.598959517143540066e-02,8.935177648493638491e-01,8.968327798567622411e-01,7.205902821185979912e-01,1.409129748852635267e+01
3.188337566550623059e-01,8.909721339846828903e-01,8.984823719450373281e-01,7.133287494270116325e-01,1.124286290051855275e+01
5.436066124503625280e-02,9.128597147113390875e-01,8.904666003119783291e-01,7.132174230112097169e-01,2.019246125571699579e+01
6.097691347526936617e-02,9.066096460100876442e-01,8.788068526844821093e-01,7.146214735175228094e-01,1.922684859402137292e+01
1.294722913466314351e-01,8.046736177760336339e-01,7.967963200671300816e-01,6.147679293244987520e-01,1.388256883919439844e+01
1.413650435699157215e-01,8.831097082577265001e-01,8.777721154105018186e-01,7.014680376713755550e-01,1.904833102577008574e+01
1.701626430721521477e-01,8.738120235193967966e-01,8.714560375774381695e-01,6.800368796099510726e-01,7.123741324376275941e+00
1.209813323508001776e-01,9.197521184910329994e-01,9.083459691382184120e-01,7.388702754510979576e-01,1.292622948834466534e+01
5.874883907595927074e-02,9.127545042777408524e-01,9.190127224220737689e-01,7.478907780139184558e-01,2.175792092968493208e+01
7.865585582157673394e-02,9.142626291486769530e-01,9.086814421668977237e-01,7.371038046422467849e-01,1.285812040823581270e+01
3.388018926261008451e-02,8.968751200060017803e-01,8.753925738108215837e-01,7.003830270450471795e-01,2.669380689086283098e+01
3.639824122767934544e-01,8.163329920897567371e-01,7.922588983556079212e-01,6.116597491353085170e-01,9.374257251732725393e+00
