MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.639329917283897931e-01,2.967608120188534038e-01,3.419598367996067867e-01,2.305487820375987928e-01,2.228025353048117552e+00
2.442918154198963909e-01,1.630982524171925574e-01,1.383252465001846010e-01,8.980358534055353503e-02,7.921123809968814156e-01
2.038482254041991404e-01,3.981054604685101417e-01,3.967784800590387628e-01,2.748152894111763334e-01,2.348877494428724066e+00
8.919683859210786325e-02,5.066801055444333235e-01,4.825133616919283219e-01,3.206069060878609100e-01,5.353789381972288375e+00
5.446982973493378483e-02,4.570918649808018430e-01,4.816945801280403394e-01,3.308157269658706934e-01,1.103191037159611732e+01
7.288119061931470910e-02,6.945339812127176993e-02,7.032966451287754606e-02,4.457089879726000570e-02,1.032592816285368142e+00
5.484847922018146749e-01,3.379747497402866424e-02,6.468853674564597860e-03,3.809881026801759801e-03,-4.920352829797841610e-02
2.488689777554932425e-01,-3.193508167707882067e-02,-4.342009019609729958e-02,-2.899364469835310001e-02,-6.018794865782402942e-02
1.389336463264413124e-01,7.713560881948136605e-02,5.391455334241490593e-02,3.599393674209275251e-02,-6.659749119044167109e-02
6.379656756637594461e-02,4.357257063356715920e-01,3.865301738129715559e-01,2.692176313705879065e-01,1.236344092299736985e+01
2.528058000869874422e-01,2.702030015139691987e-01,2.494511014601734911e-01,1.672269658707337958e-01,1.260776635906366128e+00
1.611195992341585836e-01,4.191177166735671755e-01,3.461986291874590838e-01,2.278216332892080420e-01,2.433447130493696875e+00
2.184950026748574692e-01,4.640684360830472088e-01,4.395739324953042981e-01,2.985958625603004624e-01,3.855179296844992720e+00
2.580176475958160798e-01,1.431530293991168379e-01,1.250899852045310456e-01,8.583620869275325471e-02,6.729199479729275346e-01
1.467203970222455134e-01,3.645155598367039729e-01,3.435269243363582858e-01,2.368687335916989101e-01,3.175388748116972248e+00
1.281503880976612164e-01,2.018752289301526115e-01,1.637313007238790086e-01,1.038976685158098934e-01,1.923864312638028373e+00
1.523845080941223229e-01,-2.248177228458084209e-02,-2.926739859011561959e-02,-1.921300579239072423e-02,2.593110494726645898e-01
1.169248294955450573e-01,5.183952776635063486e-01,4.963107012236047666e-01,3.436875442763678290e-01,4.646621476037822163e+00
7.080378867253901698e-02,4.087508201753615178e-01,3.751436718836897444e-01,2.531853657322902240e-01,1.137839749115157417e+01
7.273999738420518224e-02,3.986100080929841916e-01,4.443368351225328028e-01,3.066994234076902415e-01,6.360050328471946735e+00
3.273338071175718178e-01,4.498782298864413831e-01,3.858614747289639824e-01,2.659552421274400946e-01,1.705299382253932627e+00
