MSE,Pearson,Spearman,Kendall,MSE-to-rho
4.087198992792447777e-02,9.377327877178066595e-01,9.254431304678615300e-01,7.527083385423175566e-01,2.359036538338469668e+01
9.431496057521103482e-02,9.241438716590563152e-01,8.800495292038990058e-01,6.986359336583737312e-01,1.324846355848612234e+01
4.733510196650264623e-02,9.629592983223101976e-01,9.579687850846747565e-01,8.131047325591586050e-01,2.638060011902268442e+01
6.757854825557500777e-02,9.500244437957133803e-01,9.510840775195067431e-01,7.994299299089190347e-01,1.762576096652983892e+01
1.226801487515159633e-01,9.517727228046632959e-01,9.135225552425400020e-01,7.379632245697377302e-01,1.956762941013457535e+01
5.995688977294364591e-02,9.100636604559869669e-01,9.043934768824746229e-01,7.213803353288047449e-01,2.223729696393747801e+01
2.848037841297855130e-02,9.521393427072215587e-01,9.180557367656212442e-01,7.490505776369621449e-01,3.254196566173710181e+01
2.075861411677457913e-01,9.160541789055335338e-01,9.089365056870923887e-01,7.224667158903481656e-01,5.631888562417263877e+00
1.788169366142175198e-01,9.261236101455355696e-01,9.140403666959433515e-01,7.300031878984872824e-01,1.016243033844396670e+01
4.541299042940808578e-02,9.574710950150985278e-01,9.492714932133851091e-01,7.960855331721776729e-01,2.167701764285892452e+01
9.926726480693770505e-02,9.249692422256375890e-01,9.149910080195263751e-01,7.426981826098862927e-01,1.344499217081589215e+01
6.003760088759054619e-02,9.153447199086923725e-01,9.169938866013239709e-01,7.403218534604026901e-01,2.038230485380184476e+01
5.570001335441562146e-02,9.232724948818281652e-01,9.186544902133516599e-01,7.398141434345958389e-01,1.747001743784385042e+01
2.956175629159564847e-02,9.603385226969359811e-01,9.565418792819045946e-01,8.091910238779845832e-01,3.457734589257599112e+01
9.668080548797319818e-02,9.563425669035862109e-01,9.426353691541325963e-01,7.877709831853586531e-01,1.627240338185996293e+01
5.457431536520531562e-02,9.413154886231894780e-01,9.321073317516771484e-01,7.601194941034293828e-01,2.056213812042694400e+01
3.943572586065620389e-02,9.522135198528905997e-01,9.457569222585112678e-01,7.925261682017841203e-01,2.431109360751691284e+01
3.431670024399696012e-02,9.451822799144419252e-01,9.399387798349810863e-01,7.741167020877609550e-01,2.897139302469295785e+01
6.237608505582487028e-02,9.191136896699360070e-01,9.377709896292344416e-01,7.688820060840937387e-01,1.743710096032873835e+01
1.014798993521563442e-01,9.014702109100284355e-01,8.761699300339053087e-01,6.781876901279325631e-01,9.357992157656765286e+00
3.408868454284903066e-02,9.627055095392101913e-01,9.532150838314858987e-01,8.073001416843771372e-01,3.261745908671741034e+01
2.462248381161603883e-01,8.861775609950276467e-01,8.816399780693250365e-01,6.950123870654257852e-01,5.911841270186914521e+00
9.705000349040511509e-02,9.006035209487827098e-01,9.028567841071374334e-01,7.193376463724631131e-01,1.443876262251300879e+01
3.447726740212821162e-02,9.517300051583493792e-01,9.373751372636741630e-01,7.761494770179604430e-01,2.977314536373591025e+01
3.956634503371446177e-01,8.998298668150953583e-01,8.913043618875683416e-01,7.188091428095176871e-01,3.512561247757089333e+00
5.079083278777848931e-02,9.446556375519917781e-01,9.108714479475895631e-01,7.372115443363117526e-01,1.973597722996068526e+01
9.528482415037346775e-02,9.192536329672087447e-01,8.551568548696385497e-01,6.600759261574362657e-01,1.234059843707701454e+01
1.389938476981109616e-01,9.434472485055410695e-01,9.312942216217847680e-01,7.626658123932156252e-01,8.759860271256133757e+00
4.957946904215978362e-02,9.639604780151641572e-01,9.459327003505110243e-01,7.937793890903028782e-01,2.300841915067822185e+01
1.638135102984926428e-01,9.254419544642927820e-01,9.236120336456897784e-01,7.512485192100820663e-01,1.023320976919399072e+01
3.215111533065014293e-01,7.795872694773237077e-01,7.627501311427259401e-01,5.841059206057916953e-01,3.716116033396582807e+00
5.957734934422461576e-02,9.297721122582034425e-01,9.137802432870945069e-01,7.261518210095200265e-01,1.741022484690925509e+01
