MSE,Pearson,Spearman,Kendall,MSE-to-rho
3.366733897200918091e-01,7.871133901542329836e-01,7.701632933072390941e-01,5.682018377297161082e-01,3.215325362712320167e+00
1.910086102833677690e-01,6.555834750894556917e-01,6.456203245978205940e-01,4.622538631580673241e-01,5.892349518327637092e+00
3.207797237199251361e-01,8.989180863228396490e-01,8.754263925144750713e-01,6.810564028836937345e-01,3.155448814729739038e+00
1.242073541104434797e-01,7.965210480899500567e-01,8.195577528079356355e-01,6.008883202536031698e-01,7.548094992839728512e+00
1.391278179421242267e-01,8.062739136132329731e-01,7.748894145696564317e-01,5.756032593886843962e-01,6.486284838177549084e+00
3.116147556662911544e-01,6.510965905074336257e-01,6.053047233016364270e-01,4.512359878318122353e-01,3.513365478576518708e+00
1.324562754672043707e-01,8.000800002546011314e-01,7.829663419916617073e-01,5.645960953452514586e-01,5.938465813905587254e+00
9.587932258531366159e-02,8.325133055795372883e-01,8.305891457904555075e-01,6.393815685293994244e-01,1.116895069032635490e+01
1.588213988685734657e-01,7.189635649494006131e-01,6.839131770455185722e-01,4.812889111138891618e-01,4.454424076166337620e+00
7.370875020365018349e-02,9.141363217858300416e-01,8.892031276359864123e-01,6.923787140059172174e-01,1.633291248596206202e+01
1.664116638728053432e-01,7.846215944978274237e-01,8.072932843795825875e-01,6.066586031587281047e-01,4.957934097612466395e+00
1.202312776929767013e-01,7.880341712765842610e-01,7.958530899782605417e-01,6.030193748729338887e-01,7.599406345798613849e+00
3.531997278758012837e-01,2.629804441506628510e-01,3.014299696785933680e-01,2.248616910447138739e-01,2.142821013862039159e+00
2.259113272022386376e-01,5.533367603068871654e-01,5.268130576914654695e-01,3.623167049297364994e-01,2.668670492045323694e+00
2.112996537864075819e-01,7.552569254859294867e-01,7.334954713749292088e-01,5.600236487894320048e-01,6.814807556804727717e+00
1.836858248903728563e-01,7.991988015326599859e-01,8.073390773568607237e-01,5.985474851023043774e-01,4.879556028560252834e+00
1.204440071590323208e-01,8.118949714541622287e-01,7.754092449985821034e-01,5.583165187315080047e-01,7.023200599749631401e+00
8.952180639749031388e-02,8.854994291412112695e-01,8.636881698817777675e-01,6.530136637281923617e-01,1.373038301856054666e+01
1.239950869518241655e-01,7.986747972688919006e-01,7.873805154981332599e-01,5.816383506271616266e-01,7.748432194756861513e+00
2.241781462894634203e-01,8.059354202552574398e-01,7.938463453257241786e-01,5.738161228486894361e-01,3.874047886018553655e+00
2.348170175668935489e-01,7.830338110061004775e-01,7.627403164568801186e-01,5.808108930282951388e-01,4.668969187907756613e+00
2.086810391299221967e-01,7.670169341149853937e-01,7.395292186332692586e-01,5.247950577155476859e-01,4.527200414785379046e+00
4.374421999717208465e-01,2.552176965529228680e-01,2.649903763511867183e-01,1.972358571085063572e-01,1.527140330511708610e+00
2.061969574093903412e-01,8.434594275380971062e-01,8.610893269970576469e-01,6.548946228299775685e-01,4.904289968981287551e+00
2.201806451315305724e-01,7.802953009460337208e-01,7.018461537944712392e-01,5.002182356127847784e-01,4.054686584142723760e+00
1.401345411581627620e-01,8.269668563570338193e-01,8.222608929650142562e-01,6.177555527774304389e-01,6.001212274521918744e+00
1.215002095570686391e-01,7.934668679433679594e-01,7.988965347540988304e-01,6.023453596074959115e-01,7.169178938659153566e+00
1.541988229895618900e-01,7.330787373310782007e-01,7.387145277221022210e-01,5.336276826269950035e-01,4.865345909282393855e+00
2.819405693791781631e-01,6.794787093259023747e-01,6.556391949234062766e-01,4.579390728040640401e-01,3.130540935655326873e+00
7.623255567127450172e-02,8.941121066113147942e-01,8.487709449417336627e-01,6.591163270408798569e-01,1.161249131478221663e+01
1.768118906283619174e-01,7.105873813405066963e-01,6.827204485221809449e-01,4.937117511744488207e-01,9.470596611227135142e+00
2.514741215259088669e-01,6.491786505441065058e-01,6.656877077685580124e-01,4.870144184689751410e-01,3.556971444673463267e+00
1.317131635269537526e-01,8.626812463893894778e-01,8.285773998663049644e-01,6.215965922419955936e-01,7.032521869809450266e+00
8.347442675629511422e-02,8.335435135371226378e-01,8.297003272471842328e-01,6.143957061410278975e-01,1.048117183469066838e+01
3.545462119968520454e-01,5.469336233823823834e-01,5.551790401394353092e-01,3.928137433701182069e-01,2.000815182587890373e+00
1.454105797995719207e-01,7.896683764508368730e-01,7.528804028965687678e-01,5.342797016293702184e-01,5.829146431783861715e+00
1.708685404982576150e-01,7.015217555413499895e-01,6.790251422191430075e-01,5.108678793182480637e-01,6.945722847848898596e+00
3.003759945621700123e-01,5.070829804344280101e-01,5.075924981940992398e-01,3.374355306525498865e-01,2.675854711778942185e+00
9.333936523962928222e-02,7.497544526038497636e-01,7.509229898051086316e-01,5.327738883744830289e-01,9.369217068113750102e+00
2.015114716845768650e-01,8.985921821839243373e-01,8.759905314842271196e-01,6.763780680918447530e-01,7.940691587793426542e+00
1.163800739307412346e-01,8.067011783770302591e-01,7.928357327630584095e-01,5.914300120848438036e-01,7.043848328291052674e+00
2.702752374211953579e-01,6.577441588143483342e-01,6.312366079958845466e-01,4.671144309705379527e-01,3.216301237124051138e+00
1.198635296830583563e-01,8.710511632607076393e-01,8.932236186181595761e-01,7.015943737699451566e-01,1.074656270929859581e+01
8.763390373285662172e-02,8.177653849868685709e-01,7.772129879330155200e-01,5.916063257907238082e-01,1.331897912107688065e+01
1.395412342124110472e-01,8.099030012296561942e-01,7.565287997426377586e-01,5.441188690252946047e-01,9.899627882101656340e+00
1.026789490313489289e-01,8.770249250657594642e-01,8.601966922742879662e-01,6.560675501088238937e-01,8.774904702621045161e+00
1.087593519918767376e-01,7.818033952187488644e-01,7.504589275774833368e-01,5.296716672917448632e-01,7.184904057480615336e+00
2.393474544080413935e-01,6.361489026085973553e-01,6.032447503006993506e-01,4.191752302371129502e-01,4.727819613339931060e+00
1.418729010649887046e-01,7.398234442943105726e-01,7.296358308849349994e-01,5.305201483518772188e-01,5.418513481856781944e+00
2.213718832487205912e-01,7.257010322508206102e-01,7.258880059904376791e-01,5.438905904904779431e-01,5.752324471157197472e+00
1.220068018218622014e-01,8.157345510815833256e-01,8.251061735921858542e-01,6.175981807300533477e-01,7.096642168606930312e+00
1.465350537957164634e-01,8.132505444891670043e-01,7.858537015779519797e-01,5.823784120765512773e-01,5.925726625514374568e+00
2.002321512951747984e-01,6.855396435761420548e-01,6.706200342272091719e-01,4.844923717976121202e-01,3.701586849491607989e+00
3.174603029799438203e-01,5.178959002408025647e-01,5.102719243573917707e-01,4.096200872477351318e-01,3.757147320137764535e+00
1.068162899540474053e-01,8.146020851499112814e-01,7.967353380930709550e-01,6.043139956543565061e-01,7.750224764017232815e+00
2.230583085342138228e-01,7.143197203133100359e-01,6.915234887034921174e-01,4.992393632537400205e-01,4.082511008206576975e+00
1.140624934368485582e-01,8.844982019458886846e-01,8.783874971653909958e-01,6.748652009411491015e-01,8.939601522239341236e+00
1.216275687894661783e-01,8.267269992190150463e-01,8.420019230219158990e-01,6.467312385862500346e-01,6.997680693291293608e+00
8.707021434817770189e-02,8.370764708501328144e-01,7.519674704682417499e-01,5.425223361253489474e-01,8.635334163809320174e+00
8.862066424543302290e-02,8.826238131377713847e-01,8.602237811284966229e-01,6.690281910238778940e-01,1.032756709323721189e+01
1.528882974941835060e-01,7.752331153105220807e-01,7.633242379402961353e-01,5.455454459167873305e-01,5.069859227481888553e+00
2.131244839311318418e-01,6.156031920570753657e-01,5.855029234766083723e-01,4.383822561153477015e-01,5.213759563924324603e+00
2.200718302590036757e-01,7.207170973135247349e-01,7.077996939921759045e-01,5.106120532574619508e-01,3.826002426042192095e+00
2.188684534086649813e-01,7.584346608273362378e-01,7.282952239968004671e-01,5.187113597533024034e-01,4.198860245882781506e+00
1.262565621965281437e-01,8.149333229335620210e-01,8.384490486554539990e-01,6.313363545443179126e-01,7.146017652798353659e+00
9.580750939193172222e-02,8.548805408039402698e-01,8.253020884500328336e-01,6.172110680501727842e-01,1.147713198565258530e+01
1.942011274853276126e-01,7.340353258460657893e-01,6.751927455655116761e-01,4.743696920448388643e-01,3.893425955282783679e+00
1.292415302718223635e-01,8.350394075697126217e-01,8.090600177353128863e-01,6.095090011251406148e-01,7.556046872591569041e+00
1.630164588789753399e-01,6.792333910120887941e-01,6.465848616419510586e-01,4.487772429887068593e-01,6.166484155534025291e+00
3.124524823317547106e-01,3.925144599666584022e-01,3.987038463571546676e-01,3.030863234594862732e-01,5.697259201893884573e+00
3.358985875449611025e-01,7.707065094699721008e-01,7.238855160528987476e-01,5.093218735675292264e-01,3.336094814200254444e+00
1.290775917313181920e-01,8.063341712604303879e-01,7.816718000183094928e-01,5.811776263699628409e-01,7.326888242256852202e+00
1.252663015483942710e-01,8.734592773177224379e-01,8.756232706134481347e-01,6.738429263319060114e-01,7.669609139989501223e+00
1.100921340554097405e-01,8.608202547044694342e-01,8.608403190873860078e-01,6.437773620972836452e-01,9.508323765617594958e+00
1.400289696442955922e-01,7.832897158116248759e-01,7.615698144451833462e-01,5.821075312114779576e-01,8.812919022711451333e+00
2.089616619040815804e-01,8.470987348966091401e-01,8.753580536454915739e-01,6.806805349879957445e-01,1.148900117887924921e+01
3.017878278809507098e-01,3.668365212167596923e-01,3.975194962971796975e-01,2.719822061090969023e-01,1.550870988088254743e+00
1.753770745623612903e-01,6.322376562802972666e-01,6.564105137637189502e-01,4.915494147376890388e-01,5.588008824826918186e+00
1.451306642468875863e-01,7.175658162745458535e-01,6.758198048734463947e-01,4.972408928600036138e-01,5.666457413679339084e+00
1.336620268924707255e-01,8.065625287963548162e-01,7.798096187398390056e-01,5.872134944487956698e-01,6.552902794449909862e+00
2.047693176177503016e-01,7.325565228934839412e-01,7.993133261450520166e-01,5.918956482569778244e-01,5.228589525716412112e+00
1.144181391103632900e-01,8.564192074669984001e-01,8.311985052140392627e-01,6.391393715881151794e-01,8.243002606849930913e+00
2.601826819806127844e-01,7.995703458380253315e-01,7.991819574481557886e-01,6.121447889319496793e-01,3.119146706893661136e+00
1.938425124927341814e-01,5.580297229647174229e-01,5.275798023371844891e-01,3.742173605033962125e-01,3.256074817049931180e+00
1.214718470938369183e-01,8.436185619271894254e-01,8.388358436068101831e-01,6.344161978580654671e-01,6.954059738921792189e+00
1.714748078415842814e-01,6.547338043738021307e-01,6.615127583595744598e-01,4.855099595782805255e-01,4.958618864361887368e+00
1.830436865784942635e-01,7.472872056510518890e-01,7.571065369001021006e-01,5.407740759261573382e-01,4.254034111852434741e+00
1.466592074908201759e-01,8.375530072270461757e-01,7.842362409099413734e-01,5.798418760678417661e-01,6.018595800301295817e+00
7.880450159985270819e-02,8.805921554001608920e-01,8.788636571228698458e-01,6.817611368087677093e-01,1.155247813204536733e+01
1.190970314125110868e-01,8.127247759861466747e-01,8.048477684851232938e-01,5.953690521883502340e-01,8.089349537304366677e+00
1.267414645898553016e-01,7.815355685367254557e-01,7.457337660817776603e-01,5.399856857107138142e-01,6.019685463862806785e+00
2.345648152965576771e-01,8.034579578952519840e-01,8.309971497733931178e-01,6.315004375546943161e-01,3.857157295667393626e+00
8.955106681287716697e-02,8.289580174277352276e-01,7.903910680998604832e-01,5.980966787515105132e-01,1.289861761427163778e+01
2.321126166894527110e-01,6.035224277181420183e-01,5.846574491040227306e-01,4.399166562486977461e-01,9.293942439857197257e+00
1.061171335667542293e-01,8.705046677500920538e-01,8.266713750886154344e-01,6.290449431178896100e-01,9.663977249114479307e+00
2.353074040320709270e-01,6.529790720576629237e-01,6.307303750422249555e-01,4.595977228511463619e-01,4.184920526566670240e+00
1.041898730152531899e-01,8.637603620298121010e-01,7.751979678238365423e-01,5.781528659344851162e-01,8.002011565742652266e+00
1.819164102375196712e-01,7.587311807968341038e-01,7.584267353113554044e-01,5.341599783306244520e-01,5.668912567007221348e+00
9.817202900553241574e-02,5.859036730071047749e-01,5.965720132703394851e-01,4.395193301983437162e-01,1.106105901520333212e+01
1.093654190046340763e-01,8.183324498639533706e-01,8.030974594546479439e-01,5.971032004000499382e-01,8.248350602495394313e+00
