MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.027103365555653847e-01,1.030715473120643461e-01,8.035297564614023169e-02,5.225994916031170140e-02,1.292694435990314084e+00
3.267244004171068195e-01,2.278195526663705783e-01,2.228764443443134458e-01,1.496080063208045652e-01,1.402760921799234728e+00
1.882435309300572734e-01,5.005026446271553242e-01,4.507009392818930871e-01,3.040365841043029538e-01,4.413822368234140647e+00
1.045845037302965824e-01,1.658667469024877397e-02,1.044279894704186647e-02,6.682745367296981376e-03,2.343195150451077291e-02
8.999660817519365696e-02,2.508737035714931896e-01,2.118515004820547276e-01,1.453536275367754149e-01,2.346104426641451024e+00
4.254392873942444697e-01,-1.183773304018558986e-01,-1.013805026699252515e-01,-6.870966143476726906e-02,-3.479844873619644119e-01
7.850493221627193041e-02,3.379557969096501080e-01,2.977623831383652830e-01,1.982274493992308706e-01,3.821592288446387986e+00
1.208084522638652736e-01,4.372787314267109066e-02,5.267776390121506336e-02,3.664758094761844803e-02,1.005478064025030482e+00
1.223198166435097711e-01,5.488407265940990071e-02,4.125448015241375832e-02,2.763335000208359468e-02,4.652469871143045665e-01
6.718500017465112162e-02,3.377946100230018733e-01,2.595496975867140343e-01,1.721075967829311937e-01,3.400579896701225735e+00
3.029755040780956477e-01,8.926995396721028320e-02,8.115871574466745897e-02,5.420790098762343773e-02,2.320024609262587856e-01
2.803767951470372277e-01,2.817733773713975154e-01,2.314328738505137262e-01,1.615164812268199690e-01,7.116027786306787783e-01
1.540084308892112619e-01,2.949583654568161961e-01,2.920899633825923547e-01,2.008797564246430356e-01,1.738689380684779406e+00
8.696916317864956947e-02,1.570880939852055402e-01,1.491980822749356672e-01,9.988683525190011903e-02,4.397553423285661900e+00
1.015912567674839284e-01,5.545748446439435764e-01,4.380786260461156378e-01,2.923350241408454453e-01,6.795460383404659410e+00
1.512254263494862416e-01,3.402055082313485967e-01,3.097602877518576547e-01,2.010668956791136497e-01,2.303228874843604945e+00
1.066286572634418256e-01,2.966707246717662505e-01,3.138145012899540842e-01,2.046021638384630525e-01,3.582794132735283910e+00
1.134889515118297165e+00,1.943142217870709176e-01,1.725966333476818271e-01,1.157305119838291513e-01,2.979985689862019171e+00
9.444651460514784380e-02,2.954358767564553845e-01,2.999671500151118164e-01,2.141791682293619214e-01,6.705107048666942404e+00
5.243391899272481504e-02,4.502739669058306582e-01,4.651467658069807776e-01,3.112641996916280518e-01,1.116099772003644297e+01
4.748226691455456616e-02,4.020406998100566898e-01,3.933219865206560861e-01,2.697274659332416502e-01,8.136079740507357272e+00
9.665955208715948377e-02,3.894170127823128880e-01,3.072952529077323525e-01,2.085864987495039957e-01,3.319676004712118100e+00
1.521225269471420949e-01,1.814687481862077290e-01,1.118072512235507993e-01,7.064739342417801493e-02,7.831648594364311045e-01
2.659650415527110567e-01,3.827011203477733159e-01,3.683653964900844291e-01,2.497354877693044595e-01,2.628754880057051491e+00
7.674261693707380705e-02,2.196901552467814545e-01,2.300843501349369713e-01,1.533015698810182292e-01,5.246195269482183399e+00
7.509734949661921177e-02,3.407114747678503114e-02,3.831907464561053883e-02,2.560924282201941862e-02,8.182481341029693711e-01
9.060466029683096612e-02,6.169188269852418083e-01,5.888629171073175295e-01,4.127406479626415936e-01,7.495335406504893605e+00
1.186909023823617543e-01,2.650572098225746354e-01,2.293551700602370902e-01,1.517620535900320589e-01,2.757755753167567381e+00
