MSE,Pearson,Spearman,Kendall,MSE-to-rho
5.698916439974380937e-02,8.364456276351023289e-01,8.378349797552342437e-01,6.458630245447346541e-01,1.504011009599871507e+01
1.156060043948996668e-01,7.352203942631218014e-01,7.356510128070471444e-01,5.618563987165061668e-01,7.505951701555777511e+00
3.052313865296307216e-01,6.398306637491193438e-01,6.460006181484473364e-01,4.774975830312120917e-01,2.211986382848560861e+00
4.599708482691138300e-01,6.647402113543728897e-01,6.766454377678975396e-01,4.889399924990622814e-01,2.304975888228843584e+00
1.949490346306354260e-01,6.566692070184191321e-01,5.607412411053318557e-01,4.041844813935074332e-01,3.491941221976527121e+00
1.046427900082005230e-01,7.320597648247829659e-01,7.379395943037438954e-01,5.592932033170812112e-01,9.226288949566734843e+00
7.277684860750531504e-02,8.081534462219789328e-01,7.477713620354901058e-01,5.660634662666165218e-01,1.318005257874422576e+01
1.698413989266265023e-01,7.755971741012869236e-01,7.196057976813406976e-01,5.324622452806599959e-01,5.212950580238756793e+00
2.084578404221061609e-01,6.225047605221641911e-01,5.934508785226700889e-01,4.216615618618993477e-01,3.265717404631349741e+00
3.326263731011965263e-01,6.232424085256792479e-01,7.267390003006095611e-01,5.253558778180604794e-01,2.262946150797592537e+00
1.683017517833665655e-01,7.805258301198868542e-01,7.635847766575746265e-01,5.980017918906529450e-01,1.161280710375078407e+01
9.971140714353858570e-02,7.229166426241014909e-01,7.301107813845435501e-01,5.499702254448471939e-01,8.281633365198466379e+00
1.623551907800318828e-01,7.479981527713147615e-01,7.342393221209269072e-01,5.369729341167644998e-01,6.042942307365311017e+00
1.576894791270614105e-01,5.653606500004461077e-01,4.716553362055521670e-01,3.409634537650538810e-01,6.368443284724649267e+00
1.193951258240844027e-01,8.196435369826736705e-01,8.037965116686957012e-01,6.176508105179813191e-01,8.252291480518197275e+00
3.566316484904175077e-01,6.982499923124581009e-01,6.920301077582831084e-01,4.993765887402590309e-01,1.944791117666059277e+00
4.387136857286126901e-01,5.795090943904596115e-01,5.601844911591328247e-01,3.976046589156976840e-01,1.504989934483567326e+00
1.484246324909914705e-01,7.528361648037366072e-01,7.546729691198902357e-01,5.581300162520314023e-01,5.149107899225456642e+00
1.258988127237772037e-01,8.263244871219086463e-01,8.096949064874205959e-01,6.158251448097677994e-01,9.197194019011375232e+00
1.812639560581503495e-01,6.961978136903237413e-01,6.813197257549958863e-01,5.304002583656289849e-01,4.287974626000537803e+00
1.069166442706342424e-01,7.423113722949453708e-01,7.235841463606899060e-01,5.326063466266616198e-01,7.930776391295353278e+00
8.561672628469076118e-02,8.269247255704762489e-01,8.153406099350096747e-01,6.187796599574947320e-01,1.284384154698137159e+01
2.402684518098764099e-01,7.381292658532553341e-01,6.084134967095859992e-01,4.463917156311204004e-01,4.070686712749324698e+00
1.024244348391046416e-01,7.475173664065780654e-01,7.242072924876140627e-01,5.418696503729631964e-01,7.038965634019780815e+00
2.784636749363904040e-01,8.152001632153096367e-01,8.471467132210426243e-01,6.534443888819434498e-01,6.450586748065116005e+00
1.058930927893684260e-01,8.360306734710599708e-01,8.226668991901079364e-01,6.420899070717172030e-01,8.108293192356558876e+00
2.883724122662762457e-01,7.555421094598795406e-01,7.714055935375875306e-01,5.759208234362628298e-01,4.090317197537970628e+00
1.230435380289685438e-01,7.206808792499431737e-01,7.232194402534287692e-01,5.378218318956535793e-01,8.815268877414561999e+00
1.279673244485286798e-01,7.717310837381412547e-01,7.859657936166531966e-01,5.970388798599824964e-01,6.417863907829654657e+00
6.022947649530911995e-01,6.473171483098688617e-01,6.516432064788001410e-01,4.699434095928656796e-01,3.343080160334091389e+00
7.526178987685581967e-02,7.915217404832383119e-01,7.705656242275878975e-01,5.839375963662123414e-01,1.177634189806152243e+01
1.963198628628229636e-01,6.458052650114614046e-01,6.168935665373995736e-01,4.649743092886609586e-01,7.155180603581347221e+00
2.499302665000516510e-01,7.532923275455960521e-01,7.795895333217116585e-01,5.937846397466348680e-01,3.167561799235173225e+00
3.718310087275933928e-01,5.696069556316162297e-01,5.562604558009446309e-01,4.146732924948950960e-01,1.647729117958099065e+00
1.370424802490487481e-01,7.676722049023155803e-01,7.772758051839970816e-01,5.964210943034545798e-01,7.057053520781714440e+00
1.099021492856914195e-01,7.686853209467262582e-01,7.456002626421917023e-01,5.614158853189981091e-01,1.063209182903533900e+01
1.061106781642260910e-01,7.074769970866020552e-01,6.396309746270466556e-01,4.790068133516688920e-01,9.703557944759850784e+00
2.544733108768524876e-01,6.870611955600655074e-01,6.577683572541931367e-01,4.808785056465390562e-01,2.588336606890126124e+00
1.241993284213041421e-01,7.662438450947418600e-01,7.640264225707253942e-01,5.965715922823685569e-01,1.172694634786726908e+01
1.816719117638486425e-01,7.014761902526966963e-01,6.982555240977426081e-01,5.200503396257865063e-01,8.369952522916186410e+00
1.194079403352699270e-01,6.643951856378929044e-01,6.188505536461024192e-01,4.354963328749426599e-01,5.944663440212650585e+00
9.640022579007817560e-02,7.432477976364740835e-01,7.167107103861050099e-01,5.559630162103595952e-01,1.415185468452928497e+01
1.145928499292901415e-01,7.612331772531293339e-01,7.504225446941023003e-01,5.656026586656663913e-01,8.777811194641257586e+00
2.100582922478197168e-01,8.528088003198375233e-01,8.537133261517708682e-01,6.508936533733381546e-01,4.348124831311690919e+00
1.416654777732707093e-01,8.292090099138603732e-01,8.309008512093883914e-01,6.463661082635328015e-01,5.877222843445750300e+00
1.356679715399441155e-01,8.298910334547709988e-01,8.301499620101556731e-01,6.406558111430594726e-01,1.093674238967491341e+01
3.382697252775432872e-01,6.457988530307486874e-01,6.318158454971226634e-01,4.596781264324706906e-01,2.733818417053125227e+00
1.873486528170989762e-01,6.769737774848767486e-01,6.728113768954903096e-01,4.975270033754218280e-01,5.983979361613002368e+00
6.799999357509024511e-01,6.923948099704433368e-01,6.758890124513908804e-01,4.912717631370587257e-01,1.173625764199344390e+00
1.889996992294579459e-01,6.632261482964819654e-01,6.146512119945503061e-01,4.937316122848687816e-01,1.078423184477079211e+01
5.690076387604115632e-02,8.175352584455088945e-01,8.197967847546374642e-01,6.338916322873691112e-01,2.030901280475685766e+01
3.915561623318369322e-01,5.398921801006585364e-01,4.811556946821203273e-01,3.341035754469308117e-01,2.673337994986900057e+00
1.162578006636110078e-01,8.285356011922880848e-01,8.018892722951450613e-01,6.172006084093845102e-01,1.039455790465442675e+01
1.933576675852946014e-01,7.278518118261629866e-01,6.977359639099370847e-01,5.106213901737716165e-01,4.098505370352420130e+00
6.954131004745203737e-02,7.715827897818688941e-01,6.925379292349678195e-01,5.151362461974412499e-01,1.098423486647971181e+01
9.004577530050948686e-02,6.767180804975633235e-01,6.567549949805469023e-01,4.907175480268365919e-01,8.601562892015778061e+00
2.226444520384676939e-01,6.887797710493753778e-01,5.864454401397726224e-01,4.198990082093594367e-01,3.306483865433481828e+00
5.862796527690431608e-02,8.516927513420636808e-01,8.438008163093878577e-01,6.519534108430219410e-01,1.721322327890960935e+01
1.954552516388325945e-01,6.343856111327846881e-01,6.018510582398604036e-01,4.689259490769678851e-01,7.360365770675573849e+00
2.622652424381147207e-01,6.882089625096451391e-01,7.010439553444368643e-01,5.177936408717754846e-01,5.806650577509020472e+00
9.379470889859085891e-02,7.524758315058587277e-01,6.639016565844010342e-01,4.815968662749510187e-01,9.112846240954075583e+00
