MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.203188934740453825e-01,5.762752525275947058e-01,5.258175942080874909e-01,3.911155561111805401e-01,4.342897409972217737e+00
2.656051173314507019e-01,2.309094871212706845e-01,2.203982912952858475e-01,1.541837521356836105e-01,1.314735227347291646e+00
2.154325656911646736e-01,1.792375403804500056e-01,1.599741284136582675e-01,1.311070967204233662e-01,8.536333839344280028e-01
1.403372429419680045e-01,5.056245123545412001e-01,4.685777174543394596e-01,3.466989206984205651e-01,7.831972662286105447e+00
1.410283741451940354e-01,2.684685512403152674e-01,3.211224450175383383e-01,2.439737258824019317e-01,5.068524969507206102e+00
9.241656570859702047e-02,2.761908824898223203e-01,2.127299094957798564e-01,1.698416052006500587e-01,2.935899362120931055e+00
1.783027542045551861e-01,3.414383371147415303e-01,3.283844341856943516e-01,2.313559611618118128e-01,2.382426697895378975e+00
1.452724816113447892e-01,2.265683707442504302e-01,1.779448035694500829e-01,1.391078676501229239e-01,1.789134336003069592e+00
2.062069458151323531e-01,2.681693091210854973e-01,2.687384539334133904e-01,1.939368254365128885e-01,5.779220046512968167e+00
1.458300661061642522e-01,3.452564355119416284e-01,3.027761585199399974e-01,2.090070633829228530e-01,2.171846614852704693e+00
1.437072786778485212e-01,4.230263254163352804e-01,4.046702387448475879e-01,2.819929991248905643e-01,2.806915457472962228e+00
2.530357957340296782e-01,5.819476958268076094e-01,5.687926793873856468e-01,4.110983039546609596e-01,8.484297818181364192e+00
1.885334838024126103e-01,1.023812174899298988e-01,5.753965989905720363e-02,5.596324540567570310e-02,3.234618134737268225e-01
3.106620638483425512e-01,1.201446526571071233e-01,1.293522341851911506e-01,1.043830895528607555e-01,7.557429994608648727e-01
8.125992949026948631e-02,5.257750838022124951e-01,5.151672449869882930e-01,3.697526149101970083e-01,6.415500439935233778e+00
2.852829753196178264e-01,4.197627109031785153e-01,4.189813328434583983e-01,2.914142392799099479e-01,1.796280293584556986e+00
1.486110046971567400e-01,5.570538803780124004e-01,5.657540772930325090e-01,3.996208067675126041e-01,6.332066160572252578e+00
2.600013474880553677e-01,4.303746072979233728e-01,3.862959558093119194e-01,2.703187898487309782e-01,1.537058334330286380e+00
1.642432054212379366e-01,2.606182176888343638e-01,2.872594525431165224e-01,1.947274867691794753e-01,3.295362586975497887e+00
9.189148405644369244e-02,4.118333779515938597e-01,3.568855110060236702e-01,2.632878068091844548e-01,3.964148171294000544e+00
1.257234275374761456e-01,5.446329879272056029e-01,5.675480472116883890e-01,3.999858315622785709e-01,5.995075447637475463e+00
1.279307809198621804e-01,5.603588231943352760e-01,5.007643616447556845e-01,3.656718756511230239e-01,7.035455581342293208e+00
2.104046080187188250e-01,4.716410917992951979e-01,4.769838823434982555e-01,3.415690086260782521e-01,2.158022472824848048e+00
1.553548689996887278e-01,4.305311434404656551e-02,7.639598470931226355e-03,5.998687335916991215e-03,2.560158518331570598e-01
2.115201754416296820e-01,1.288949503296804022e-01,1.446827036825422685e-01,1.041068883610451051e-01,6.013755273806418167e-01
2.981374553271738392e-01,4.148427309152754039e-01,4.023861449669710599e-01,2.830384631412259377e-01,1.559072400306943385e+00
1.156920262902379620e-01,6.131490885958021941e-01,6.259384850771639863e-01,4.413952160686752113e-01,5.611294585112798217e+00
2.954053248702114831e-01,2.414478448991760617e-01,1.878109045282954082e-01,1.389739550777180366e-01,1.863042007419015933e+00
2.635259643076038882e-01,2.098168420346053498e-01,1.773893821310841279e-01,1.306886277451347889e-01,1.254124321779680251e+00
1.092500020291461427e-01,3.259142388332885165e-01,2.395274179066784193e-01,1.703265824894778235e-01,3.014468503356514173e+00
3.130622368063127325e-01,2.299113703471222792e-01,1.565796344856193179e-01,1.228890277951410481e-01,5.887493092310798204e-01
1.387631184599143752e-01,3.562839153973078599e-01,2.935514071570533012e-01,2.121477476351210090e-01,2.337565015034553273e+00
1.695033245767449126e-01,6.171849078709743530e-01,6.335558119383721820e-01,4.912195691128057873e-01,3.819014107256820001e+00
1.150746122609577621e-01,3.170901340394862156e-01,2.425524763914449766e-01,1.763846314122598236e-01,2.328606818900908149e+00
1.311494736834471209e-01,3.216641259365679573e-01,2.975228632347323154e-01,2.218903612951618476e-01,2.273050727958173312e+00
2.872635897038480768e-01,4.545966013713931275e-01,4.350402122037533847e-01,3.006089094470141276e-01,3.239943847509348718e+00
2.486867814283258982e-01,9.264055219429805088e-02,8.715934458061476431e-02,6.990715506104928922e-02,3.843577511382319511e-01
8.580819967723685160e-02,5.705825660059125060e-01,5.418263499035368413e-01,3.887068175188564401e-01,8.524834513045817630e+00
1.036636391145507874e-01,5.673019166328110430e-01,6.017627627228557818e-01,4.240916364545567752e-01,6.928378105119811892e+00
1.234148120862005871e-01,8.694422229355381893e-01,8.725433154694268723e-01,6.742642413635037135e-01,1.388524084172052930e+01
3.174989710229026429e-01,4.552686711277329490e-01,4.140409807975153345e-01,2.976491019710796881e-01,2.173949834693092331e+00
1.476236930851275997e-01,5.348101065109788221e-01,5.459381010068454776e-01,3.826360170021252394e-01,6.296726259424937133e+00
8.117470659946658673e-02,3.634012137180511193e-01,3.621312741504886801e-01,2.613870483810475931e-01,4.929392565039790064e+00
3.440820617428448358e-01,2.466848845315104122e-01,2.528528043961376093e-01,1.741280160020002299e-01,3.847082070238376783e+00
1.348901270470715119e-01,5.795288615651301711e-01,5.840276352504319979e-01,4.108182897862232008e-01,5.800586750409610914e+00
2.027126065705350533e-01,5.089709394531953812e-01,5.102464132616627568e-01,3.660334000083342865e-01,4.140909427516811014e+00
1.171999140706563303e-01,5.202620985833190659e-01,4.959322451473789362e-01,3.420865108138516075e-01,5.489002533542222118e+00
1.636102740894302687e-01,2.714445737963598962e-02,5.017486715116981078e-02,2.761997332999957186e-02,7.725543821112084153e-01
2.090147128620584438e-01,2.712207198584415946e-01,2.481110463767351171e-01,1.943619619119056063e-01,2.092623987382412398e+00
1.325387379485969686e-01,5.484696006615065178e-01,5.433336456224008293e-01,3.849639538275617112e-01,5.690478712779015957e+00
1.233375488894815769e-01,3.927122824852511407e-01,3.607402498865664442e-01,2.532881401841896585e-01,3.237085504670879743e+00
2.425033300898067345e-01,5.926993546060926876e-01,5.827333536130211433e-01,4.110852814935199717e-01,3.165951228957492258e+00
2.587746771660632827e-01,1.112007699699666535e-01,9.440954913139924798e-02,7.228905696545399884e-02,2.157081600475566852e+00
2.407387779210544698e-01,3.630425273699220412e-01,3.714139784205309769e-01,2.618692544901445873e-01,3.647689812215628269e+00
3.012287576085876939e-01,5.110345021984525893e-01,5.049556998274329356e-01,3.687075676126181922e-01,3.029297824331207423e+00
2.224294354318834266e-01,4.375610801083528734e-01,3.850243610785057391e-01,2.811195774471808573e-01,3.434679781023851408e+00
