MSE,Pearson,Spearman,Kendall,MSE-to-rho
2.700958674078570709e-01,2.781870758977834091e-01,2.617514602383040900e-01,1.784192815768637363e-01,1.463460081114336120e+00
3.002482436477184602e-01,2.133487913638582312e-01,1.416452616194572300e-01,9.520079593282491925e-02,1.163685838246889759e+00
3.031532727147325801e-01,9.011464254332547663e-02,8.489148481861696904e-02,6.262868275201065316e-02,3.420238036339016685e-01
3.009838874387210095e-01,1.848735264682375146e-01,1.493980080452813886e-01,9.854610993040795186e-02,1.148688209178695185e+00
2.515713187368144310e-01,2.319119464362680294e-01,2.617052175813315285e-01,1.801873150810517632e-01,1.378727981149154402e+00
2.673296857171916785e-01,2.665232457998921167e-01,2.403797807949965837e-01,1.660998874859357377e-01,9.173673679754035248e-01
3.024320463558433092e-01,8.479252823284218199e-02,1.178721707401901853e-01,8.407407175896985940e-02,4.963351696998383189e-01
3.091313350047474873e-01,1.064820253863523192e-01,-3.739982532655975606e-02,-2.331078884860606978e-02,-9.900809809270268991e-01
1.376201178483203169e-01,2.404656309435057315e-01,2.064066589126040963e-01,1.423595657790557023e-01,4.134548005149182082e+00
4.350805282659768736e-01,9.370392803299976148e-02,7.983862941935358781e-02,5.392586573321665050e-02,1.033875789172182147e+00
3.570613278737144181e-01,6.245500358610191899e-02,-1.058067699344808488e-02,-6.645434846022414861e-03,4.725667971810438850e-01
1.628015307942816958e-01,-1.103214747141732927e-01,-2.350389897662343019e-02,-1.413457932241529713e-02,2.094159145901652863e-01
1.103113735826181524e-01,1.843626680595774892e-01,1.566499254085925996e-01,1.062639496603741823e-01,1.628445638798772244e+00
1.711770732292127173e-01,1.654550248220236774e-01,1.581199969862499832e-01,1.079998333124973925e-01,8.965724462397309802e-01
3.855230831602107777e-01,1.131171667412842613e-01,2.626243359003803055e-02,1.511613951743968030e-02,4.588775044932199010e-01
3.564519857549868220e-01,1.424424550925753596e-01,1.389646631869479176e-01,9.349416593740882131e-02,3.835700051660779208e-01
3.479441477272728900e-01,1.664401638277754336e-02,1.447664255432254410e-02,1.082151935658623963e-02,-5.258696265713021928e-02
4.034541177528243594e-01,1.373286727927640338e-01,1.504537598430275291e-01,1.015508605242321782e-01,6.908937681385595164e-01
4.443959254523990876e-01,1.294024844252271711e-01,1.013917453654960416e-01,6.853283743801306949e-02,6.804791520656122694e-01
4.070831260621477488e-01,-4.030913542875371076e-03,-2.229182187174721941e-02,-1.378353544193024020e-02,-1.077252401746543048e-01
3.401480715576060132e-01,1.552006089613340578e-01,1.171210755253293129e-01,7.992392799099885814e-02,2.054941202696175251e-01
