MSE,Pearson,Spearman,Kendall,MSE-to-rho
1.134915349218486441e-01,5.170281788000018475e-01,4.726825304637896075e-01,3.279251781472683480e-01,6.477426426103186863e+00
9.257803248169053922e-02,5.145197758985594616e-01,4.333404756146949643e-01,3.053020377547192576e-01,5.141928224778453682e+00
1.184305986714784265e-01,6.240865993549201685e-01,5.544381667412213721e-01,3.962385298162269809e-01,7.314405022526902833e+00
1.913791529800359381e-01,5.708345789009388049e-01,4.936630689556730789e-01,3.532269033629202859e-01,9.782719588768292951e+00
2.074569288377548781e-01,5.764516009648283923e-01,4.547105926673530862e-01,3.166928782764512063e-01,4.841889185643334592e+00
2.722954135302275702e-01,5.804370905314807372e-01,5.670635767119310833e-01,4.020059799141559309e-01,3.100296329543752893e+00
6.976289675874376706e-02,6.550470354533000084e-01,6.043228614425447676e-01,4.308494395132724253e-01,1.072345981061170761e+01
1.847722993490503729e-01,6.020694722803584531e-01,5.480755770402434557e-01,3.891688961120139401e-01,5.217451870605716024e+00
1.017258183269269117e-01,6.751217426488603790e-01,5.890779190637176477e-01,4.319450139600782834e-01,1.194390647218565782e+01
1.002011024440353087e-01,5.738368449562379903e-01,5.153111811611122972e-01,3.576026169937908672e-01,7.834484823601882475e+00
2.134592897276154089e-01,4.048167283449939369e-01,3.427448601366384628e-01,2.376434971038046129e-01,3.159093332663349241e+00
1.029010159869315350e-01,5.112726120369036620e-01,4.318154756611793932e-01,2.978325415676958965e-01,4.481476031792794856e+00
1.000270248746605167e-01,7.155668496276992308e-01,6.069901452576585976e-01,4.396690211276408911e-01,1.793267327191532345e+01
1.485067073017419526e-01,5.761527115422443446e-01,4.724180307799693002e-01,3.300717381339333678e-01,4.642588371098209876e+00
2.488288349775633623e-01,3.555609895662399378e-01,2.664824515544133576e-01,1.929348043505437760e-01,1.453141982414750011e+00
2.028211281449281700e-01,5.332930124211715528e-01,4.650091568517056295e-01,3.205594449306162219e-01,4.306702930198588852e+00
2.115698090348518967e-01,6.954047843458354139e-01,6.302815915122125245e-01,4.525158978205608418e-01,3.828247835460397042e+00
8.444312832340844510e-02,3.833946226086498155e-01,3.267415760428371563e-01,2.304468891944826403e-01,4.283754006934112013e+00
2.253612566923235416e-01,6.685597295978077392e-01,5.536486175726347270e-01,3.886554777680543693e-01,5.531241468899904312e+00
7.079765061646869917e-02,7.265988790588552293e-01,5.898896686467135497e-01,4.230140434220943657e-01,9.139238727911028093e+00
2.474617472518481076e-01,3.116572397784582726e-01,2.681804376512568755e-01,1.788873609201150072e-01,1.828139705911880464e+00
2.742682266427606819e-01,4.857469540318713475e-01,3.992653055119579908e-01,2.756257032129015294e-01,1.508524845448645957e+00
1.258242228744381463e-01,6.833258836808945302e-01,6.323154699580543214e-01,4.515620077509687746e-01,7.853704506829610743e+00
2.209202329214326743e-01,4.440397830535852131e-01,3.466167671346370160e-01,2.375548818602324641e-01,2.986503583353417479e+00
1.059492215902143736e-01,6.786394683762079216e-01,6.136559951821251024e-01,4.492844105513189024e-01,6.051308220704133767e+00
1.266411714151316203e-01,7.034099604334423939e-01,5.916836282997443019e-01,4.320028336875441632e-01,6.879170682102564882e+00
1.210475512590510477e-01,5.209064186301667343e-01,4.855844309310068385e-01,3.363128932783264191e-01,4.503335921693287780e+00
1.565473840239057501e-01,3.416734145986981552e-01,3.168255351847740209e-01,2.209299287410926294e-01,2.658390721982228033e+00
2.719240304812423625e-01,2.981601113533096092e-01,2.862619724415933486e-01,2.003596907946826322e-01,1.386644302788221372e+00
1.708993970785901706e-01,5.799616767816987428e-01,4.871239827284998825e-01,3.431927115889485402e-01,4.106042522106731596e+00
1.416259061541674802e-01,2.665862064570921341e-01,2.814182087955970357e-01,1.980165854065090991e-01,2.663599720484018718e+00
2.130977892233428816e-01,6.423444393050147250e-01,5.186005352671959612e-01,3.677147351752301785e-01,2.742155501326332345e+00
1.584317867208469843e-01,4.610395892612436097e-01,4.165406723131355737e-01,2.861484352210692528e-01,5.111733504995100041e+00
1.043055326788417947e-01,7.433568787864746064e-01,5.885847861341373388e-01,4.223209776222027201e-01,5.696912742634126836e+00
1.046879587233917469e-01,7.279691874207587787e-01,6.735906803764170059e-01,4.942381547693461274e-01,7.538339218835596434e+00
2.250536077145711966e-01,4.002269593146164373e-01,3.443521662711275799e-01,2.320456307038379629e-01,5.315799295773016020e+00
3.212937763127948210e-01,1.461801711581174334e-01,5.629841730153778423e-02,3.996326624161353203e-02,1.430883213790887232e-01
2.066092039491486954e-01,4.951587935983580713e-01,4.334039208422488798e-01,2.959892903279575660e-01,3.827378374610177048e+00
8.331675049436716718e-02,5.828154354656015501e-01,4.946960519796259059e-01,3.488745051464765545e-01,7.532320592520778568e+00
8.868513354229808077e-02,7.631736275907686773e-01,6.870662633135354858e-01,5.073726924198856958e-01,9.186698716745931748e+00
1.259407158151013839e-01,4.844801247106460540e-01,4.278754743574293418e-01,2.973131224736424993e-01,4.895568538656457136e+00
1.688777597013249310e-01,4.071631581357673668e-01,2.782796874262451481e-01,1.921009501187648238e-01,6.021898281896731930e+00
1.143457820397578567e-01,6.135379448375226641e-01,4.910346304771036618e-01,3.498402091928157209e-01,6.765532649791370368e+00
1.155317235000673098e-01,5.442147579421215964e-01,4.521748643308574067e-01,3.122427386756677081e-01,5.025416857049700425e+00
